ID,Genus,Division,Percent,N15,Depth,Zone,Location,Lat,Long,Region,Site
NWHI-1043a,Caulerpa sp.,Chlorophyta,1.9,3.9,75,2,Pearl & Hermes,27.74129,-175.9584,NWHI,M
NWHI-1043b,Caulerpa sp.,Chlorophyta,2.1,5.2,75,2,Pearl & Hermes,27.74129,-175.9584,NWHI,M
NWHI-1043c,Caulerpa sp.,Chlorophyta,2.4,5.2,75,2,Pearl & Hermes,27.74129,-175.9584,NWHI,M
AM_1,Chondria sp.,Rhodophyta,1.2,3.1,13,1,Pearl & Hermes,27.89606,-175.93386,NWHI,A
AM_13,Chondria sp.,Rhodophyta,1.6,2.9,13,1,Pearl & Hermes,27.89606,-175.93386,NWHI,A
AM_25,Chondria sp.,Rhodophyta,1.8,2.8,13,1,Pearl & Hermes,27.89606,-175.93386,NWHI,A
NWHI_804a,Chondria sp.,Rhodophyta,1.5,3.2,17,1,Pearl & Hermes,27.91062,-175.90483,NWHI,C
NWHI_804b,Chondria sp.,Rhodophyta,1.7,2.4,17,1,Pearl & Hermes,27.91062,-175.90483,NWHI,C
NWHI_804c,Chondria sp.,Rhodophyta,1.6,2.4,17,1,Pearl & Hermes,27.91062,-175.90483,NWHI,C
AM_26,Chondria sp.,Rhodophyta,2,3,2,1,Pearl & Hermes,27.9578,-175.80208,NWHI,E
AM_37,Chondria sp.,Rhodophyta,1.3,2.7,2,1,Pearl & Hermes,27.9578,-175.80208,NWHI,E
AM_50,Chondria sp.,Rhodophyta,2.7,3.2,2,1,Pearl & Hermes,27.9578,-175.80208,NWHI,E
NWHI_811a,Chondria sp.,Rhodophyta,2,3.2,2,1,Pearl & Hermes,27.9578,-175.80208,NWHI,E
NWHI_811b,Chondria sp.,Rhodophyta,2.6,3,2,1,Pearl & Hermes,27.9578,-175.80208,NWHI,E
NWHI_811c,Chondria sp.,Rhodophyta,1.9,2.5,2,1,Pearl & Hermes,27.9578,-175.80208,NWHI,E
AM_101,Chondria sp.,Rhodophyta,1.7,2.3,19,1,Pearl & Hermes,27.96612,-175.77445,NWHI,F
AM_115,Chondria sp.,Rhodophyta,1.7,2.2,19,1,Pearl & Hermes,27.96612,-175.77445,NWHI,F
AM_125,Chondria sp.,Rhodophyta,1.5,2.9,19,1,Pearl & Hermes,27.96612,-175.77445,NWHI,F
AM_76,Chondria sp.,Rhodophyta,1.8,2.4,14,1,Pearl & Hermes,27.85154,-175.73869,NWHI,I
AM_87,Chondria sp.,Rhodophyta,1.1,3,14,1,Pearl & Hermes,27.85154,-175.73869,NWHI,I
AM_100,Chondria sp.,Rhodophyta,1.6,2.8,14,1,Pearl & Hermes,27.85154,-175.73869,NWHI,I
AM_57,Chondria sp.,Rhodophyta,0.9,3.4,12,1,Pearl & Hermes,27.78992,-175.99815,NWHI,N
AM_67,Chondria sp.,Rhodophyta,1.3,2.9,12,1,Pearl & Hermes,27.78992,-175.99815,NWHI,N
AM_75,Chondria sp.,Rhodophyta,1.2,3.2,12,1,Pearl & Hermes,27.78992,-175.99815,NWHI,N
NWHI_879a,Chondria sp.,Rhodophyta,1.7,2.8,12,1,Pearl & Hermes,27.78992,-175.99815,NWHI,N
NWHI_879b,Chondria sp.,Rhodophyta,1.2,3,12,1,Pearl & Hermes,27.78992,-175.99815,NWHI,N
NWHI_879c,Chondria sp.,Rhodophyta,1,2.9,12,1,Pearl & Hermes,27.78992,-175.99815,NWHI,N
NWHI-957a,Codium sp.,Chlorophyta,0.8,4.3,52,2,Pearl & Hermes,27.90961,-175.92322,NWHI,B
NWHI-957b,Codium sp.,Chlorophyta,0.9,4.3,52,2,Pearl & Hermes,27.90961,-175.92322,NWHI,B
NWHI-957c,Codium sp.,Chlorophyta,1,4.5,52,2,Pearl & Hermes,27.90961,-175.92322,NWHI,B
NWHI-995a,Galaxaura sp.,Rhodophyta,0.5,3.6,58,2,Pearl & Hermes,27.77276,-175.79776,NWHI,L
NWHI-995b,Galaxaura sp.,Rhodophyta,0.4,4.8,58,2,Pearl & Hermes,27.77276,-175.79776,NWHI,L
NWHI-995c,Galaxaura sp.,Rhodophyta,0.4,4.3,58,2,Pearl & Hermes,27.77276,-175.79776,NWHI,L
NWHI-1071a,Halimeda sp.,Chlorophyta,0.6,1.5,23,1,Pearl & Hermes,27.94306,-175.72381,NWHI,G
NWHI-1071b,Halimeda sp.,Chlorophyta,1.1,2.1,23,1,Pearl & Hermes,27.94306,-175.72381,NWHI,G
NWHI-1071c,Halimeda sp.,Chlorophyta,0.8,1.7,23,1,Pearl & Hermes,27.94306,-175.72381,NWHI,G
NWHI-1072a,Halimeda sp.,Chlorophyta,1.5,2.7,24,1,Pearl & Hermes,27.94306,-175.72381,NWHI,G
NWHI-1072b,Halimeda sp.,Chlorophyta,1.6,3,24,1,Pearl & Hermes,27.94306,-175.72381,NWHI,G
NWHI-1072c,Halimeda sp.,Chlorophyta,1.7,2.7,24,1,Pearl & Hermes,27.94306,-175.72381,NWHI,G
NWHI-1070a,Halimeda sp.,Chlorophyta,0.6,2.2,20,1,Pearl & Hermes,27.90783,-175.72118,NWHI,H
NWHI-1070b,Halimeda sp.,Chlorophyta,0.7,1.8,20,1,Pearl & Hermes,27.90783,-175.72118,NWHI,H
NWHI-1070c,Halimeda sp.,Chlorophyta,0.8,2,20,1,Pearl & Hermes,27.90783,-175.72118,NWHI,H
NWHI-878a,Halimeda sp.,Chlorophyta,0.9,3.7,12,1,Pearl & Hermes,27.78992,-175.99815,NWHI,N
NWHI-878b,Halimeda sp.,Chlorophyta,1,2.5,12,1,Pearl & Hermes,27.78992,-175.99815,NWHI,N
NWHI-878c,Halimeda sp.,Chlorophyta,0.8,4.8,12,1,Pearl & Hermes,27.78992,-175.99815,NWHI,N
NWHI-813a,Laurencia sp.,Rhodophyta,1.9,4.2,2,1,Pearl & Hermes,27.9578,-175.80208,NWHI,E
NWHI-813b,Laurencia sp.,Rhodophyta,1.9,4.1,2,1,Pearl & Hermes,27.9578,-175.80208,NWHI,E
NWHI-813c,Laurencia sp.,Rhodophyta,2,4.2,2,1,Pearl & Hermes,27.9578,-175.80208,NWHI,E
NWHI-1074a,Laurencia sp.,Rhodophyta,1.4,1.4,26,1,Pearl & Hermes,27.94306,-175.72381,NWHI,G
NWHI-1074b,Laurencia sp.,Rhodophyta,1.1,0.9,26,1,Pearl & Hermes,27.94306,-175.72381,NWHI,G
NWHI-1074c,Laurencia sp.,Rhodophyta,1.2,2.1,26,1,Pearl & Hermes,27.94306,-175.72381,NWHI,G
NWHI-1073a,Microdictyon sp.,Chlorophyta,1.9,2.5,25,1,Pearl & Hermes,27.94306,-175.72381,NWHI,G
NWHI-1073b,Microdictyon sp.,Chlorophyta,2,2.2,25,1,Pearl & Hermes,27.94306,-175.72381,NWHI,G
NWHI-1073c,Microdictyon sp.,Chlorophyta,2,2.2,25,1,Pearl & Hermes,27.94306,-175.72381,NWHI,G
NWHI-1069a,Microdictyon sp.,Chlorophyta,1.1,1,20,1,Pearl & Hermes,27.90783,-175.72118,NWHI,H
NWHI-1069b,Microdictyon sp.,Chlorophyta,1,0.8,20,1,Pearl & Hermes,27.90783,-175.72118,NWHI,H
NWHI-1069c,Microdictyon sp.,Chlorophyta,1.2,1.5,20,1,Pearl & Hermes,27.90783,-175.72118,NWHI,H
NWHI-969b,Sargassum sp.,Phaeophyceae,1.1,,85,2,Pearl & Hermes,27.76657,-175.78357,NWHI,K
NWHI-969c,Sargassum sp.,Phaeophyceae,1,,85,2,Pearl & Hermes,27.76657,-175.78357,NWHI,K
NWHI-969d,Sargassum sp.,Phaeophyceae,1,,85,2,Pearl & Hermes,27.76657,-175.78357,NWHI,K
NWHI-969e,Sargassum sp.,Phaeophyceae,1,3.4,85,2,Pearl & Hermes,27.76657,-175.78357,NWHI,K
NWHI-1034a,Sargassum sp.,Phaeophyceae,0.5,,75,2,Pearl & Hermes,27.74129,-175.9584,NWHI,M
NWHI-1034b,Sargassum sp.,Phaeophyceae,1.1,4.5,75,2,Pearl & Hermes,27.74129,-175.9584,NWHI,M
NWHI-1031a,Scinaia sp.,Rhodophyta,1,,75,2,Pearl & Hermes,27.74129,-175.9584,NWHI,M
NWHI-1031b,Scinaia sp.,Rhodophyta,1.3,4.2,75,2,Pearl & Hermes,27.74129,-175.9584,NWHI,M
NWHI-1031c,Scinaia sp.,Rhodophyta,0.8,,75,2,Pearl & Hermes,27.74129,-175.9584,NWHI,M
NWHI-1066a,Ulva/Umbraulva,Chlorophyta,1.4,4.5,94,2,Pearl & Hermes,27.81194,-175.72707,NWHI,J
NWHI-1066b,Ulva/Umbraulva,Chlorophyta,1.8,4.4,94,2,Pearl & Hermes,27.81194,-175.72707,NWHI,J
NWHI-1066c,Ulva/Umbraulva,Chlorophyta,1.9,4.3,94,2,Pearl & Hermes,27.81194,-175.72707,NWHI,J
NWHI-1049a,Ulva/Umbraulva,Chlorophyta,0.7,5.3,75,2,Pearl & Hermes,27.74129,-175.9584,NWHI,M
NWHI-1049c,Ulva/Umbraulva,Chlorophyta,0.6,5.2,75,2,Pearl & Hermes,27.74129,-175.9584,NWHI,M
NWHI-821a,Ulvaceae sp.,Chlorophyta,1.9,4.9,91,2,Pearl & Hermes,27.9247,-175.90666,NWHI,D
NWHI-821b,Ulvaceae sp.,Chlorophyta,2.4,3.7,91,2,Pearl & Hermes,27.9247,-175.90666,NWHI,D
NWHI-821c,Ulvaceae sp.,Chlorophyta,1.5,,91,2,Pearl & Hermes,27.9247,-175.90666,NWHI,D
NWHI-974a,Microdictyon sp.,Chlorophyta,0.9,1.2,15,1,Pearl & Hermes,27.91052,-175.90467,NWHI,C
NWHI-974b,Microdictyon sp.,Chlorophyta,0.9,1.2,15,1,Pearl & Hermes,27.91052,-175.90467,NWHI,C
NWHI-974c,Microdictyon sp.,Chlorophyta,0.9,1.4,15,1,Pearl & Hermes,27.91052,-175.90467,NWHI,C
